"MotherID","MotherID_unique","BirthSeason","Total_Offspring_Count","TotalSons","SonID","DSB_Score","SSB_Score","TotalMounts","Scan_Count","adjusted_DSB","adjusted_SSB","adjusted_TM"
"ID_4697","ID_4697a",2006,7,3,"ID_2777",0,0,0,0,0,0,0
"ID_4697","ID_4697b",2006,7,3,"ID_4165",1,1,2,18,0.79663977,0.79663977,1.59327954
"ID_4730","ID_4730a",1999,12,7,"ID_3976",0,27,27,246,0,11.29265279,11.29265279
"ID_4730","ID_4730b",1999,12,7,"ID_6693",0,0,0,3,0,0,0
"ID_4733","ID_4733a",2003,6,5,"ID_1529",0,2,2,0,0,0,0
"ID_4739","ID_4739a",2007,9,3,"ID_3721",0,1,1,0,0,0,0
"ID_4739","ID_4739b",2007,9,3,"ID_8381",0,0,0,0,0,0,0
"ID_4766","ID_4766a",1989,5,2,"ID_9977",11,2,13,166,4.954713718,0.90085704,5.855570758
"ID_4782","ID_4782a",1993,10,6,"ID_1323",0,3,3,3,0,6.287709823,6.287709823
"ID_4840","ID_4840a",2005,8,3,"ID_2169",1,2,3,60,0.562381856,1.124763712,1.687145567
"ID_4840","ID_4840b",2005,8,3,"ID_7217",1,0,1,16,0.830482024,0,0.830482024
"ID_4935","ID_4935a",2012,7,3,"ID_7577",5,2,7,27,3.493172124,1.39726885,4.890440973
"ID_4935","ID_4935b",2012,7,3,"ID_9136",0,0,0,1,0,0,0
"ID_4944","ID_4944a",2015,1,1,"ID_7966",0,0,0,0,0,0,0
"ID_4953","ID_4953a",2005,11,6,"ID_2095",0,10,10,56,0,5.720208493,5.720208493
"ID_4953","ID_4953b",2005,11,6,"ID_2842",0,0,0,0,0,0,0
"ID_4953","ID_4953c",2005,11,6,"ID_6267",0,5,5,0,0,0,0
"ID_4957","ID_4957a",1998,13,10,"ID_3731",0,4,4,0,0,0,0
"ID_4957","ID_4957b",1998,13,10,"ID_4533",4,20,24,122,1.917214826,9.586074131,11.50328896
"ID_4957","ID_4957c",1998,13,10,"ID_7222",0,12,12,164,0,5.417989178,5.417989178
"ID_4957","ID_4957d",1998,13,10,"ID_8713",0,0,0,0,0,0,0
"ID_4978","ID_4978a",2005,12,4,"ID_2238",6,4,10,90,3.070243315,2.046828876,5.117072191
