AnimalID,Sex,BirthSeason,offspring_count
ID_8467,M,2013,6
ID_3435,M,2013,0
ID_1355,F,2013,4
ID_1958,M,2013,1
ID_3539,M,2013,0
ID_8194,F,2013,3
ID_1719,M,2013,0
ID_3058,M,2013,0
ID_4577,F,2013,3
ID_2686,M,2013,1
ID_2360,M,2013,1
ID_1423,M,2013,5
ID_1414,M,2013,2
ID_9490,F,2013,2
ID_7748,F,2013,5
ID_5296,M,2013,2
ID_2757,M,2013,0
ID_9638,M,2014,2
ID_1746,M,2014,7
ID_4206,M,2014,0
ID_5898,F,2014,4
ID_2250,F,2014,3
ID_9348,M,2014,3
ID_2329,M,2014,1
ID_7441,M,2014,0
ID_5226,M,2014,5
ID_9690,M,2014,1
ID_7603,F,2014,4
ID_4731,M,2014,0
ID_2828,M,2014,0
ID_8559,F,2014,3
ID_3697,M,2014,1
ID_3713,M,2014,0
ID_9068,M,2014,12
ID_1352,M,2014,2
ID_2847,M,2014,0
ID_6458,M,2014,0
ID_5545,M,2014,0
ID_2197,F,2014,4
ID_9931,M,2014,1
ID_9839,M,2014,2
ID_6269,M,2014,4
ID_7235,M,2014,8
ID_8795,F,2014,3
ID_9678,M,2014,0
ID_7240,M,2014,0
ID_8574,M,2014,0
ID_2552,M,2014,3
ID_9413,M,2014,0
ID_7644,M,2014,2
ID_5320,M,2014,0
ID_6022,M,2014,3
ID_1541,F,2014,3
ID_6752,M,2014,0
ID_6886,M,2014,1
ID_5674,M,2014,1
ID_9989,M,2014,1
ID_2386,F,2014,0
ID_4158,F,2014,4
ID_8579,M,2014,4
ID_1695,M,2014,0
ID_8318,M,2014,0
ID_9843,M,2014,0
ID_3911,M,2014,0
ID_8104,F,2014,4
ID_8821,M,2014,0
ID_8449,M,2014,0
ID_3987,M,2014,9
ID_3332,M,2014,0
ID_6636,F,2014,3
ID_8655,M,2014,1
ID_5532,M,2014,0
ID_4165,M,2014,1
ID_7325,M,2015,6
ID_8324,M,2015,0
ID_8681,M,2015,0
ID_3800,M,2015,3
ID_4744,M,2015,2
ID_4138,M,2015,1
ID_9186,M,2015,1
ID_1093,F,2015,4
ID_1072,M,2015,0
ID_4944,F,2015,1
ID_5515,M,2015,0
ID_2326,M,2015,0
ID_6362,M,2015,0
ID_4371,M,2015,2
ID_6239,M,2015,0
ID_3653,F,2015,2
ID_6468,M,2015,2
ID_8060,M,2015,0
ID_1443,M,2015,2
ID_2169,M,2015,1
ID_5782,M,2015,10
ID_1585,M,2015,2
ID_7000,M,2015,3
ID_5200,F,2015,4
ID_4085,M,2015,1
ID_6789,M,2015,2
ID_3361,M,2015,0
ID_8575,M,2015,0
ID_2121,M,2015,2
ID_3823,M,2015,2
ID_6289,M,2015,0
ID_6363,M,2015,0
ID_2990,M,2015,2
ID_2398,M,2015,2
ID_6408,M,2015,0
ID_5537,M,2015,30
ID_8959,M,2015,0
ID_4824,M,2015,2
ID_1064,M,2015,4
ID_8131,M,2015,0
ID_3643,M,2015,0
ID_7230,F,2015,3
ID_6391,M,2015,0
ID_2692,F,2015,3
ID_8911,M,2015,3
ID_7773,F,2015,1
ID_7890,F,2015,2
ID_3955,M,2015,21
ID_3419,M,2015,0
ID_1982,M,2015,1
ID_6157,M,2015,1
ID_9080,F,2015,2
ID_2938,F,2015,1
ID_7842,F,2015,3
ID_6522,M,2015,3
ID_3771,M,2015,0
ID_2095,M,2015,0
ID_5679,F,2015,3
ID_2746,M,2015,0
ID_9420,M,2015,0
ID_4661,M,2015,0
ID_7496,M,2015,0
ID_9322,M,2015,3
ID_7739,M,2015,13
ID_1824,M,2015,7
ID_6414,M,2015,0
ID_1606,M,2015,0
ID_8059,M,2016,0
ID_9959,M,2016,1
ID_8751,M,2016,3
ID_5786,F,2016,1
ID_8704,M,2016,0
ID_7902,M,2016,0
ID_6768,M,2016,8
ID_3757,F,2016,0
ID_9371,M,2016,1
ID_7338,M,2016,0
ID_9016,M,2016,0
ID_9842,M,2016,0
ID_3173,M,2016,0
ID_8416,M,2016,0
ID_9380,M,2016,0
ID_2535,M,2016,0
ID_5918,M,2016,0
ID_4581,M,2016,0
ID_7863,M,2016,0
ID_3692,F,2016,2
ID_6017,M,2016,0
ID_5432,F,2016,3
ID_3974,M,2016,0
ID_7217,M,2016,0
ID_1405,M,2016,0
ID_9611,F,2016,0
ID_7576,M,2016,1
ID_4569,M,2016,0
ID_7402,F,2016,0
ID_2554,M,2016,0
ID_5954,F,2016,3
ID_8874,M,2016,0
ID_4572,M,2016,7
ID_5935,M,2016,0
ID_8157,M,2016,1
ID_2626,M,2016,0
ID_7032,M,2016,0
ID_5000,F,2016,2
ID_4434,F,2016,0
ID_8268,M,2016,0
ID_5280,M,2016,0
ID_5376,M,2017,0
ID_4250,M,2017,0
ID_2882,M,2017,0
ID_7204,M,2017,0
ID_8924,F,2017,2
ID_5415,M,2017,0
ID_4868,M,2017,0
ID_6629,M,2017,0
ID_4905,M,2017,0
ID_8156,M,2017,0
ID_9249,M,2017,0
ID_3014,F,2017,1
ID_4108,F,2017,1
ID_2918,M,2017,0
ID_7029,F,2017,2
ID_3473,F,2017,1
ID_9148,M,2017,0
ID_7088,M,2017,0
ID_2719,F,2017,0
ID_8247,M,2017,6
ID_8506,M,2017,0
ID_4054,M,2017,1
ID_9115,M,2017,0
ID_5194,M,2017,0
ID_1749,M,2017,0
ID_6785,M,2017,0
ID_5606,M,2017,3
ID_3721,M,2017,0
ID_9221,F,2017,1
ID_6663,M,2017,0
ID_5592,M,2017,0
ID_7577,M,2018,0
ID_7346,M,2018,0
ID_1083,M,2018,0
ID_1261,M,2018,0
ID_9063,M,2018,0
ID_4163,M,2018,0
ID_5641,M,2018,0
ID_5345,M,2018,0
ID_7081,M,2018,0
ID_1815,F,2018,1
ID_4930,M,2018,0
ID_5390,M,2018,0
ID_2725,M,2018,0
ID_9254,M,2018,0
ID_6641,F,2018,1
ID_1308,M,2018,0
ID_9836,M,2018,0
ID_4154,M,2018,0
ID_4222,M,2018,0
ID_4665,M,2018,0
ID_4655,M,2018,0
ID_8956,M,2018,0
ID_7688,M,2018,0
ID_6052,M,2018,0
ID_7840,M,2018,0
ID_2788,M,2018,0
ID_7933,M,2018,0
ID_4899,M,2018,0
ID_3555,M,2018,0
ID_8381,F,2018,0
ID_3731,M,2018,0
ID_2114,M,2019,0
ID_3422,M,2019,0
ID_9468,M,2019,0
ID_6018,M,2019,0
ID_5152,F,2019,0
ID_3724,M,2019,0
ID_3568,M,2019,0
ID_9887,M,2019,0
ID_2777,M,2019,0
ID_3965,M,2019,0
ID_2504,M,2019,0
ID_4742,M,2019,0
ID_8809,M,2019,0
ID_5795,F,2019,0
ID_8458,M,2019,0
ID_6196,M,2019,0
ID_5896,M,2019,0
ID_1635,M,2019,0
ID_6267,M,2019,0
ID_3129,M,2020,0
ID_2449,M,2020,0
ID_2282,M,2020,0
ID_9551,M,2020,0
ID_8713,M,2020,0
ID_9262,M,2020,0
ID_2924,F,2020,0
ID_9201,M,2020,0
ID_1899,M,2020,0
ID_3033,M,2020,0
ID_5040,M,2020,0
ID_4681,M,2020,0
ID_8470,M,2020,0
ID_2980,M,2020,0
ID_5112,M,2020,0
ID_2713,M,2020,0
ID_3235,F,2020,0
ID_9101,F,2020,0
ID_2247,M,2021,0
ID_6009,M,2021,0
ID_7114,M,2021,0
ID_9136,M,2021,0
ID_3753,M,2021,0
ID_8279,M,2021,0
ID_9927,F,2021,0
ID_5449,M,2021,0
ID_6184,F,2021,0
ID_9445,F,2021,0
ID_8826,M,2021,0
ID_6577,M,2021,0
ID_7301,M,2021,0
ID_7669,F,2021,0
ID_9894,F,2021,0
ID_9273,F,2021,0
ID_5577,M,2021,0
ID_2842,M,2021,0
ID_3065,M,2021,0
ID_1937,M,2021,0
ID_1373,M,2021,0
ID_2255,M,2021,0
ID_8892,M,2021,0
ID_2539,M,2021,0
ID_8090,F,2021,0
ID_3116,M,2021,0
ID_1756,F,2021,0
ID_9855,M,2021,0
ID_7410,M,2022,0
ID_5116,M,2022,0
ID_2265,F,2022,0
ID_4481,M,2022,0
ID_5394,F,2022,0
ID_5389,F,2022,0
ID_3903,F,2022,0
ID_8640,F,2022,0
ID_7043,M,2022,0
ID_8139,M,2022,0
ID_6537,M,2023,0
ID_2764,M,2023,0
ID_8452,F,2023,0
ID_7924,F,2023,0
ID_2064,M,2023,0
ID_7674,M,2023,0
ID_3579,M,2023,0
ID_1034,F,2023,0
ID_7680,M,2023,0
ID_7966,M,2023,0
ID_7049,M,2023,0
ID_3418,M,2023,0
ID_5855,M,2023,0
ID_9618,F,2023,0
ID_6610,F,2023,0
