Date_ymd,Time_Absolute_hms,Time_Relative_hms,Time_Relative_s,Time_Lag_s,Duration_s,Observation_Name,Log_File_Name,Actor,Behavior,Receiver,Event_Type,Observer_ID,Coding_Scheme,Group
17/02/2025,08:05:47,00:28:05,1685.478,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:05:47,00:28:05,1685.478,0.565,3.612,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:05:50,00:28:09,1689.09,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:05:50,00:28:09,1689.09,0.532,39.13,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:06:30,00:28:48,1728.22,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:06:30,00:28:48,1728.22,1.081,71.78,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Groom (give)""",ID_5171,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:07:41,00:30:00,1800,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Groom (give)""",ID_5171,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:20:16,00:00:00,0,2.845,14.211,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:20:30,00:00:14,14.211,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:20:30,00:00:14,14.211,0.516,8.704,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:20:39,00:00:22,22.914,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:20:39,00:00:22,22.914,0.698,13.961,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:20:53,00:00:36,36.876,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:20:53,00:00:36,36.876,2.795,33.4,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Stationary alone""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:21:26,00:01:10,70.276,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Stationary alone""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:21:26,00:01:10,70.276,0.699,6.707,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:21:33,00:01:16,76.983,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:21:33,00:01:16,76.983,3.012,23.682,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Stationary alone""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:21:57,00:01:40,100.665,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Stationary alone""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:21:57,00:01:40,100.665,0.549,4.86,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Soft grunt""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:22:01,00:01:45,105.525,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Soft grunt""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:22:01,00:01:45,105.525,0.582,8.387,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:22:10,00:01:53,113.912,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:22:10,00:01:53,113.912,2.745,34.397,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""OUT OF SIGHT""",ID_6272,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:22:44,00:02:28,148.309,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""OUT OF SIGHT""",ID_6272,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:22:44,00:02:28,148.309,12.43,27.141,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:23:11,00:02:55,175.45,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:23:11,00:02:55,175.45,0.449,5.342,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:23:17,00:03:00,180.792,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:23:17,00:03:00,180.792,0.549,2.296,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:23:19,00:03:03,183.088,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:23:19,00:03:03,183.088,0.432,17.904,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:23:37,00:03:20,200.992,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:23:37,00:03:20,200.992,0.532,45.812,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Feeding""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:24:23,00:04:06,246.804,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Feeding""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:24:23,00:04:06,246.804,2.146,107.546,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""OUT OF SIGHT""",ID_6272,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:26:10,00:05:54,354.351,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""OUT OF SIGHT""",ID_6272,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:26:10,00:05:54,354.351,1.197,5.257,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:26:16,00:05:59,359.608,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:26:16,00:05:59,359.608,0.549,12.929,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Feeding""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:26:28,00:06:12,372.536,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Feeding""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:26:28,00:06:12,372.536,4.625,10.033,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Fear grimace""",ID_6896,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:26:38,00:06:22,382.57,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Fear grimace""",ID_6896,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:26:38,00:06:22,382.57,1.664,31.017,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Feeding""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:27:10,00:06:53,413.587,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Feeding""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,08:27:10,00:06:53,413.587,0.515,4.925,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,08:27:14,00:06:58,418.512,0,0,"""FocalAnimal_2K1""","""Focal Animal_2K1 - Female Rhesus Macaques - 20250217_082016.csv""",ID_6272,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
