ID,DSB_Score,SSB_Score,Scan_Count,adjusted_DSB,adjusted_SSB,OffspringCount,BirthSeason,DS,normDS
ID_6157,1,2,49,0.591647331,1.183294662,1,2015,35.76369048,166.6070769
ID_9137,0,4,50,0,2.35436764,9,2006,NA,NA
ID_5376,3,3,50,1.76577573,1.76577573,0,2017,5.883333333,166.5176148
ID_2437,2,3,51,1.171254938,1.756882406,13,2010,NA,NA
ID_7460,0,2,52,0,1.165498895,7,2002,NA,NA
ID_6018,0,3,52,0,1.748248342,0,2019,-25.46309524,166.4237632
ID_6289,0,5,52,0,2.913747236,0,2015,-56.8422619,166.3298136
ID_6320,0,1,53,0,0.579953601,9,2011,NA,NA
ID_2607,21,8,54,12.12195546,4.617887795,2,2010,32.41190476,166.5970416
ID_2039,6,1,54,3.463415846,0.577235974,7,2010,-2.083333333,166.4937625
ID_2398,0,0,54,0,0,2,2015,-7.95,166.4761976
ID_1405,0,11,54,0,6.349595718,0,2016,-13,166.4610778
ID_2114,4,0,54,2.308943898,0,0,2019,-15.54722222,166.4534514
ID_2121,2,5,54,1.154471949,2.886179872,2,2015,-59.35138889,166.3223012
ID_6782,0,2,56,0,1.144041699,16,2006,NA,NA
ID_7863,6,12,56,3.432125096,6.864250192,0,2016,-17.75,166.4468563
ID_2095,0,10,56,0,5.720208493,0,2015,-22.4,166.4329341
ID_8156,0,0,57,0,0,0,2017,-51.2922619,166.3464304
ID_1979,0,3,58,0,1.701231925,1,2011,NA,NA
ID_6468,10,1,58,5.670773083,0.567077308,2,2015,-8.616666667,166.4742016
ID_5280,7,2,58,3.969541158,1.134154617,0,2016,-16.26746032,166.451295
ID_1585,0,8,58,0,4.536618467,2,2015,-25.47261905,166.4237347
ID_1895,32,5,59,18.07039763,2.82349963,0,2010,-4.508333333,166.486502
ID_2169,1,2,60,0.562381856,1.124763712,1,2015,-55.16666667,166.3348303
ID_4783,5,4,61,2.800602949,2.240482359,4,2010,83.025,166.7485778
ID_8318,0,13,63,0,7.224869135,0,2014,1.810714286,166.5054213
ID_5345,0,1,63,0,0.555759164,0,2018,-9.838095238,166.4705446
ID_7902,0,10,63,0,5.557591643,0,2016,-39.65654762,166.3812678
ID_8268,0,6,63,0,3.334554986,0,2016,-41.875,166.3746257
ID_9468,1,2,63,0.555759164,1.111518329,0,2019,-49.675,166.3512725
ID_3528,1,9,64,0.553654682,4.982892142,9,2010,NA,NA
ID_3974,3,5,64,1.660964047,2.768273412,0,2016,16.58333333,166.5496507
ID_8131,0,23,64,0,12.7340577,0,2015,-5.75,166.4827844
ID_1072,0,6,65,0,3.309590046,0,2015,-1.275595238,166.4961809
ID_2746,0,9,65,0,4.964385069,0,2015,-18.51666667,166.4445609
ID_7032,0,10,65,0,5.515983411,0,2016,-18.6547619,166.4441474
ID_5896,3,4,65,1.654795023,2.206393364,0,2019,-50.72222222,166.3481371
ID_7325,4,3,65,2.206393364,1.654795023,6,2015,-56,166.3323353
ID_4744,3,4,68,1.637099814,2.182799752,2,2015,45.25218254,166.6354856
ID_5415,3,2,68,1.63738576,1.09159051,0,2017,-76.98095238,166.2695181
ID_3138,0,3,68,0,1.637099814,55,1995,-81.8297619,166.2550007
ID_8254,0,3,69,0,1.631455248,5,2007,NA,NA
ID_8218,1,4,69,0.543818416,2.175273664,14,2012,-21.1202381,166.4367658
ID_5532,0,23,69,0,12.50782357,0,2014,-90.0202381,166.2304783
ID_8988,0,1,70,0,0.54197662,5,2002,NA,NA
ID_8378,3,2,70,1.625929861,1.083953241,8,2009,-9.541666667,166.4714321
ID_2326,0,1,70,0,0.54197662,0,2015,-54.07083333,166.3381113
